Country,Doctors_Per_10k,Births_Attended_By_Skilled_Personnel,Maternal_Mortality_Rate
Albania,18.83,99.80,6.88
Albania,18.83,100.00,6.66
Albania,18.83,100.00,6.66
Albania,18.83,100.00,6.66
Albania,18.83,99.80,6.66
Albania,18.83,99.30,6.66
Albania,18.83,99.80,6.66
Albania,18.83,98.00,6.66
Albania,18.83,99.10,6.66
Albania,18.83,99.10,6.88
Albania,18.83,98.00,6.88
Albania,18.83,99.30,6.88
Albania,18.83,99.80,6.88
Albania,18.83,100.00,6.88
Albania,18.83,100.00,6.88
Albania,18.83,100.00,6.88
Albania,18.83,99.10,6.69
Albania,18.83,100.00,6.69
Albania,18.83,100.00,5.43
Albania,18.83,100.00,5.43
Albania,18.83,100.00,5.43
Albania,18.83,99.80,5.43
Albania,18.83,99.30,5.43
Albania,18.83,99.80,5.43
Albania,18.83,98.00,5.43
Albania,18.83,99.10,5.43
Albania,18.83,100.00,6.69
Albania,18.83,100.00,6.69
Albania,18.83,99.80,6.69
Albania,18.83,99.30,6.69
Albania,18.83,99.80,6.69
Albania,18.83,98.00,6.69
Albania,18.83,100.00,7.01
Albania,18.83,99.10,7.01
Albania,18.83,98.00,7.01
Albania,18.83,99.80,7.01
Albania,18.83,99.30,7.01
Albania,18.83,99.80,7.01
Albania,18.83,100.00,7.01
Albania,18.83,100.00,7.01
Albania,18.83,99.10,26.52
Albania,18.83,98.00,26.52
Albania,18.83,99.80,26.52
Albania,18.83,99.30,26.52
Albania,18.83,99.80,26.52
Albania,18.83,100.00,26.52
Albania,18.83,100.00,26.52
Albania,18.83,100.00,26.52
Albania,18.83,99.10,47.70
Albania,18.83,99.80,41.96
Albania,18.83,100.00,41.96
Albania,18.83,100.00,41.96
Albania,18.83,100.00,41.96
Albania,18.83,99.80,41.96
Albania,18.83,99.30,41.96
Albania,18.83,98.00,41.96
Albania,18.83,99.10,41.96
Albania,18.83,100.00,47.70
Albania,18.83,100.00,47.70
Albania,18.83,100.00,47.70
Albania,18.83,99.80,47.70
Albania,18.83,99.30,47.70
Albania,18.83,99.80,47.70
Albania,18.83,98.00,47.70
Albania,18.83,99.80,18.39
Albania,18.83,100.00,18.69
Albania,18.83,100.00,18.69
Albania,18.83,100.00,18.69
Albania,18.83,99.80,18.69
Albania,18.83,99.30,18.69
Albania,18.83,99.80,18.69
Albania,18.83,98.00,18.69
Albania,18.83,99.10,18.69
Albania,18.83,100.00,18.39
