country,maternal_mortality_rate
"DR Congo",585.01
Laos,584.87
"DR Congo",584.56
Cambodia,584.54
Bhutan,583.96
Timor-Leste,583.87
Benin,583.72
Nepal,583.32
Senegal,583.30
Uganda,583.11
Kenya,582.96
Mozambique,582.81
Togo,582.61
Togo,581.90
Zambia,580.49
Kenya,580.11
Lesotho,579.80
Ghana,579.24
Laos,579.15
Cambodia,579.10
Uganda,578.47
"DR Congo",577.80
Bolivia,576.15
Zambia,576.15
Niger,575.77
Burundi,575.35
Togo,575.29
Eritrea,575.06
Lesotho,574.59
Gambia,574.51
Cameroon,574.42
Kenya,574.03
Cambodia,573.96
Malawi,573.46
Zambia,573.42
"DR Congo",573.32
Cameroon,572.94
Myanmar,572.50
Myanmar,572.48
Guinea,572.14
Mali,570.53
"DR Congo",570.22
Benin,569.14
India,568.49
Senegal,567.89
Guinea,567.72
Madagascar,567.53
Kenya,567.14
Lesotho,566.21
Tanzania,566.04
Mauritania,565.73
Kenya,565.59
Lesotho,565.27
Senegal,564.80
Togo,564.79
Burundi,563.86
Kenya,563.76
Sudan,563.76
Lesotho,563.71
Kenya,563.51
Benin,563.25
Lesotho,562.89
Kenya,562.83
Mali,562.67
Cambodia,562.49
Laos,562.23
Zimbabwe,562.12
Uganda,561.90
"DR Congo",561.88
Cambodia,561.61
Kenya,560.81
Niger,560.55
Mali,560.32
Zambia,560.24
Myanmar,559.96
Tanzania,559.39
Cameroon,558.27
Zimbabwe,558.16
Mauritania,557.80
Lesotho,556.91
Tanzania,556.20
Lesotho,555.79
Cameroon,555.62
Guinea,555.54
Zambia,555.44
Mali,555.33
Lesotho,554.91
Lesotho,554.83
Burundi,554.73
Togo,553.93
Senegal,553.45
Mali,553.42
Guinea,553.40
"Equatorial Guinea",553.33
Kenya,553.17
Lesotho,553.14
Ghana,552.19
Eswatini,551.62
Bhutan,551.44
Lesotho,550.80
Lesotho,550.54
Benin,549.94
Angola,549.84
Senegal,549.70
Bolivia,548.98
Mali,548.84
Kenya,547.46
Timor-Leste,547.39
"DR Congo",547.36
India,547.10
Mali,546.88
Myanmar,546.88
Mali,546.75
Tanzania,546.73
Eritrea,545.98
Haiti,544.65
Lesotho,544.62
Togo,544.52
Mali,544.27
Myanmar,544.09
Zambia,543.75
"DR Congo",543.48
Gambia,543.33
Ethiopia,543.32
Benin,543.11
Nepal,543.06
Kenya,542.96
Benin,542.46
Comoros,541.57
Uganda,541.57
"DR Congo",540.70
"Burkina Faso",539.93
Nepal,538.49
Benin,537.75
Madagascar,537.31
Benin,536.63
Mauritania,536.42
Kenya,536.34
Morocco,536.29
